M N nhits nmiss rc rr rl ratio
1 8 800 800 3.974208750296384e-05 2.8802770795300602e-05 4.0152420895174146e-05 1.3798008457383577
1 8 800 3200 8.258290418889374e-05 3.158158329315483e-05 4.3072645901702346e-05 2.6149070305412208
1 8 800 10000 0.0002013635418843478 3.956414579879493e-05 5.076202920172363e-05 5.089546047787567
1 8 3200 1 4.9888887512497604e-05 5.94563125167042e-05 7.09654666017741e-05 0.8390847901723028
1 8 3200 100 5.155128750484437e-05 5.942420000210404e-05 7.111589170526713e-05 0.8675133616105742
1 8 3200 800 6.444585828576236e-05 6.0374733316712084e-05 7.162539169657976e-05 1.0674309391595005
1 8 3200 3200 0.00010731765001546592 6.304815830662846e-05 7.444502080325037e-05 1.7021536060345677
1 8 3200 10000 0.00022744658403098584 7.033955000806599e-05 8.171132910065353e-05 3.233551878067233
1 8 10000 1 0.00011944363329093903 0.00014732921249233186 0.00015911009591072797 0.8107260689875457
1 8 10000 100 0.00012114828329067678 0.00014768590829335152 0.0001595880459062755 0.8203103782253719
1 8 10000 800 0.0001341372499940917 0.00014848215829115361 0.00016011511660180987 0.9033896835676817
1 8 10000 3200 0.00017671265830285847 0.00015108105840627104 0.0001630698167020455 1.1696546222734399
1 8 10000 10000 0.0002975566249806434 0.00015871938329655678 0.00017019717919174583 1.8747340041302851
1 32 1 1 1.6525957079138606e-05 1.6567917081993075e-05 2.7903487510047854e-05 0.9974673942024932
1 32 1 100 2.416777079924941e-05 1.687038250034675e-05 2.8010549978353083e-05 1.432556185300047
1 32 1 800 7.491804170422256e-05 1.755968833109364e-05 2.8829262498766184e-05 4.26647901099487
1 32 1 3200 0.0002461762500461191 2.0494891703128814e-05 3.182700420729816e-05 12.01159067400864
1 32 1 10000 0.0007256227079778909 2.885079998522997e-05 4.016453749500215e-05 25.150869589382964
1 32 100 1 2.0001874170266092e-05 2.119940840639174e-05 3.236749169882387e-05 0.9435109596848663
1 32 100 100 2.754425830207765e-05 2.1149850008077918e-05 3.2607958395965394e-05 1.3023382336781333
1 32 100 800 7.88750042207539e-05 2.2145070787519217e-05 3.335082500707358e-05 3.56174089383391
1 32 100 3200 0.0002510532909072936 2.507319999858737e-05 3.64569874946028e-05 10.012814117122586
1 32 100 10000 0.0007220342920627445 3.3290908299386504e-05 4.460901250131428e-05 21.688632991610216
1 32 800 1 4.932369999587536e-05 5.203779588919133e-05 6.334836671594531e-05 0.9478437576584655
