M N colnnz rac rar ratio
100 1 20 3.0337258242070676e-05 2.8554145991802216e-05 1.0624467021629849
100 1 40 4.748026244342327e-05 3.2613008096814154e-05 1.455868845415135
100 1 80 9.348797518759965e-05 3.924513328820467e-05 2.3821546101283837
100 1 160 0.00015526529997587205 5.457782465964556e-05 2.8448422219853344
100 1 320 0.0002572179604321718 8.42311292886734e-05 3.0537161570118
100 2 1 2.1402862668037414e-05 2.663974594324827e-05 0.803418422744451
100 2 2 2.2333516739308835e-05 2.686937488615513e-05 0.8311885495637836
100 2 4 2.417952511459589e-05 2.6744341850280762e-05 0.9040987155323118
100 2 10 2.94173376634717e-05 2.7108362503349782e-05 1.085175751941365
100 2 20 4.7321258299052716e-05 2.8512425161898137e-05 1.659671460086436
100 2 40 0.00010019013341516256 3.2559462450444696e-05 3.0771433517261326
100 2 80 0.00019139454178512098 4.0179099887609485e-05 4.763534830807488
100 2 160 0.00030974062345921993 5.514582488685846e-05 5.616755649130434
100 2 320 0.0005050923321396112 9.147039987146854e-05 5.521921111631214
100 4 1 2.226028311997652e-05 2.6775649935007096e-05 0.8313629425993099
100 4 2 2.340993769466877e-05 2.6686466857790946e-05 0.8772213204324718
100 4 4 2.6507370732724666e-05 2.6601387560367586e-05 0.9964657171574391
100 4 10 4.176322501152754e-05 2.686311658471823e-05 1.55466789863413
100 4 20 9.78390334174037e-05 2.8277871012687683e-05 3.459915117849763
100 4 40 0.0002008066661655903 3.258654158562422e-05 6.162257680458413
100 4 80 0.0003759295828640461 4.0000104159116746e-05 9.39821509885656
100 4 160 0.0006035442091524601 5.533234998583794e-05 10.907619309625103
100 4 320 0.0009913458749651908 0.00012760026678442955 7.769152055457615
100 8 1 2.2728375159204005e-05 2.6568083092570304e-05 0.8554766664953686
100 8 2 2.552025429904461e-05 2.6462079212069512e-05 0.9644085067738997
100 8 4 3.188081681728363e-05 2.6165758445858954e-05 1.218417455135116
100 8 10 9.462359566241503e-05 2.7004262432456016e-05 3.5040244442554505
100 8 20 0.00020284883305430413 2.882107086479664e-05 7.038212910474221
100 8 40 0.00040834458358585834 3.25444208458066e-05 12.547299136788116
100 8 80 0.0007544559594243764 4.0269541554152966e-05 18.735151439700708
100 8 160 0.0011881045009940862 7.341384571045637e-05 16.18365704038937
100 8 320 0.0019669621232897045 0.00020788520760834216 9.461770493047688
100 16 1 2.4779733270406723e-05 2.5957433506846427e-05 0.9546295578055096
100 16 2 2.931539583951235e-05 2.5833445973694326e-05 1.1347845683987967
100 16 4 5.8522066846489905e-05 2.608896680176258e-05 2.243173035221009
100 16 10 0.00019775420799851418 2.7471662685275078e-05 7.1984797667347316
100 16 20 0.00041147783398628237 2.9025066830217837e-05 14.176636918468525
100 16 40 0.000811690665781498 3.288052510470152e-05 24.68606152720584
100 16 80 0.00148891712538898 4.4337566755712036e-05 33.581390101818386
100 16 160 0.0023748945444822312 0.00011555379182100295 20.552285710892374
100 16 320 0.003914881646633148 0.0003533302079886198 11.079951722551954
1 1 1 0.00010330307111144065 0.00013519565425813197 0.7641005302892494
1 1 2 0.00011469902079552412 0.00015696595851331948 0.7307254508039795
1 1 4 0.00010129675436764955 0.00013565726671367883 0.7467108605501295
1 1 10 0.00011571326646953822 0.00016914355810731648 0.6841127605706487
1 1 20 0.00011428384985774756 2.6369316689670084e-05 4.333970849632108
1 1 40 2.0949375256896017e-05 2.5314795970916747e-05 0.8275545764209988
1 1 80 2.1029366739094257e-05 2.5096850097179413e-05 0.8379285311768152
1 1 160 2.150623742491007e-05 2.5513766519725322e-05 0.8429267943752274
1 1 320 2.2285933420062066e-05 2.6122812367975713e-05 0.8531215209960576
1 2 1 2.0749666914343832e-05 2.6126483269035816e-05 0.7942005321066538
1 2 2 2.079823762178421e-05 2.5859837606549262e-05 0.8042679129785738
1 2 4 2.0623212493956088e-05 2.570969145745039e-05 0.8021571370503439
1 2 10 2.0815279148519038e-05 2.5368995778262614e-05 0.8205007139602498
1 2 20 2.098426651209593e-05 2.5033474713563918e-05 0.8382482556736719
1 2 40 2.1066383458673954e-05 2.4972320720553397e-05 0.8435893361458924
1 2 80 2.1454549953341484e-05 2.5540425255894663e-05 0.8400232078512408
1 2 160 2.214510403573513e-05 2.6046621054410933e-05 0.8502102437576988
1 2 320 2.324842903763056e-05 2.598619591444731e-05 0.8946453384008138
1 4 1 2.077426239848137e-05 2.5998762622475624e-05 0.7990481201025414
1 4 2 2.075158338993788e-05 2.551664188504219e-05 0.8132568338509473
1 4 4 2.086337488144636e-05 2.5446854159235956e-05 0.8198803180500008
1 4 10 2.083259578794241e-05 2.5080670788884162e-05 0.8306235492383834
1 4 20 2.0981012471020223e-05 2.4888012744486333e-05 0.8430167842817557
1 4 40 2.155637536197901e-05 2.5233924947679043e-05 0.854261689637058
1 4 80 2.2244374826550483e-05 2.5541420839726926e-05 0.8709137587190042
1 4 160 2.3128029331564903e-05 2.5720395706593992e-05 0.8992097009470007
1 4 320 2.4897125177085398e-05 2.662983350455761e-05 0.934933565124406
1 8 1 2.0740625075995922e-05 2.581572104245424e-05 0.803410644308084
1 8 2 2.082167509943247e-05 2.5297175161540507e-05 0.8230830109081833
1 8 4 2.086509559303522e-05 2.5002654269337654e-05 0.8345152225947233
1 8 10 2.116406261920929e-05 2.5189229287207126e-05 0.8402028651967489
1 8 20 2.1780595928430556e-05 2.5388208217918874e-05 0.8579020520659634
1 8 40 2.2494937479496002e-05 2.5570474751293658e-05 0.8797231063673521
1 8 80 2.3618916794657707e-05 2.557934168726206e-05 0.9233590560471461
1 8 160 2.551443763077259e-05 2.631203308701515e-05 0.9696870457100417
1 8 320 2.9434616677463055e-05 2.9252770915627478e-05 1.0062163602333627
1 16 1 2.087510395795107e-05 2.5354299880564213e-05 0.8233358466329906
1 16 2 2.1202887594699858e-05 2.5116608291864394e-05 0.8441779777075935
1 16 4 2.093169167637825e-05 2.505494188517332e-05 0.8354316594429991
1 16 10 2.1567424759268762e-05 2.536392491310835e-05 0.8503189010831081
1 16 20 2.237006239593029e-05 2.5577916391193867e-05 0.8745850152060081
1 16 40 2.377349603921175e-05 2.5878916680812836e-05 0.9186434012068949
1 16 80 2.657301668077707e-05 2.603588309139013e-05 1.0206305116481555
1 16 160 3.102051261812449e-05 2.8193816728889942e-05 1.1002594262570367
1 16 320 4.911116231232882e-05 3.526616673916578e-05 1.3925857798938808
2 1 1 2.0763674937188625e-05 2.6185370795428752e-05 0.7929494334605105
2 1 2 2.057776227593422e-05 2.631002925336361e-05 0.7821261648085569
2 1 4 2.0703054033219815e-05 2.588926237076521e-05 0.7996772459843511
2 1 10 2.0640116557478905e-05 2.5873279012739658e-05 0.7977387229239861
2 1 20 2.0815216563642026e-05 2.5418495945632458e-05 0.818900402610903
2 1 40 2.1007270738482476e-05 2.521012909710407e-05 0.8332869164440581
2 1 80 2.1643253974616527e-05 2.542230412364006e-05 0.8513490307312698
2 1 160 2.2287408262491226e-05 2.62165917083621e-05 0.8501260770438892
2 1 320 2.3280662670731545e-05 2.66958000138402e-05 0.8720721109186423
2 2 1 2.061025835573673e-05 2.6235529035329818e-05 0.7855857729410423
2 2 2 2.0776895992457866e-05 2.6218970865011214e-05 0.7924375102069431
2 2 4 2.0779575034976005e-05 2.5747654400765895e-05 0.8070473026994603
2 2 10 2.0853783190250397e-05 2.5421008095145227e-05 0.820336593741652
2 2 20 2.100522480905056e-05 2.511245831847191e-05 0.8364463782344956
2 2 40 2.1451137587428093e-05 2.5132741592824458e-05 0.853513633130757
2 2 80 2.2203629277646542e-05 2.5618704222142695e-05 0.8666960313494527
2 2 160 2.3066512495279314e-05 2.6314803957939148e-05 0.8765603016518073
2 2 320 2.4989224970340728e-05 2.677545826882124e-05 0.933288413570852
2 4 1 2.0690437592566014e-05 2.577659599483013e-05 0.8026830849471273
2 4 2 2.0789791457355024e-05 2.5850187614560126e-05 0.8042414146984824
2 4 4 2.0853674784302713e-05 2.5332645885646342e-05 0.8231937113256123
2 4 10 2.095181681215763e-05 2.536114603281021e-05 0.8261384081402259
2 4 20 2.1443979255855083e-05 2.5094266608357428e-05 0.8545369980533064
2 4 40 2.2275703959167003e-05 2.5570433400571346e-05 0.8711508174385998
2 4 80 2.342179175466299e-05 2.584723364561796e-05 0.9061624186089187
2 4 160 2.5333962403237818e-05 2.633264157921076e-05 0.9620744780591483
2 4 320 3.0210033431649207e-05 2.7260733395814896e-05 1.1081885799993587
2 8 1 2.0746771059930325e-05 2.566872090101242e-05 0.8082510671231785
2 8 2 2.0848499983549118e-05 2.567752916365862e-05 0.811935597489496
2 8 4 2.085309587419033e-05 2.514124158769846e-05 0.8294377905502365
2 8 10 2.140581663697958e-05 2.502927891910076e-05 0.8552310558433234
2 8 20 2.2220479138195513e-05 2.5435725226998328e-05 0.8735932999704665
2 8 40 2.3614024929702282e-05 2.576933316886425e-05 0.9163615051643589
2 8 80 2.6289141550660135e-05 2.5701787695288658e-05 1.0228526459845881
2 8 160 3.122891262173652e-05 2.658969610929489e-05 1.174474220892653
2 8 320 4.627477508038282e-05 2.948016244918108e-05 1.569691997462798
2 16 1 2.079979181289673e-05 2.5669899955391884e-05 0.810279426450503
2 16 2 2.093119602650404e-05 2.5377058237791062e-05 0.8248078177687939
2 16 4 2.1088766306638718e-05 2.5158300064504147e-05 0.8382428960847345
2 16 10 2.2227245941758156e-05 2.5378566794097425e-05 0.875827469773738
2 16 20 2.354379165917635e-05 2.568722479045391e-05 0.9165564536938953
2 16 40 2.64293959364295e-05 2.571096234023571e-05 1.0279426956753577
2 16 80 3.276552483439445e-05 2.6211791671812534e-05 1.250029957686167
2 16 160 4.715979993343353e-05 2.8563391603529454e-05 1.6510574300149357
2 16 320 8.543611653149128e-05 3.614860400557518e-05 2.3634693200964145
4 1 1 2.0763158425688744e-05 2.6320166885852812e-05 0.7888687984288207
4 1 2 2.068695444613695e-05 2.5994000025093557e-05 0.7958357477174195
4 1 4 2.0854216627776624e-05 2.6222262531518935e-05 0.7952866997159392
4 1 10 2.087752502411604e-05 2.6018137484788894e-05 0.8024219656891953
4 1 20 2.107501681894064e-05 2.5558487698435783e-05 0.8245799621481698
4 1 40 2.162042073905468e-05 2.5496770814061164e-05 0.8479670189109312
4 1 80 2.2626933455467223e-05 2.5697504170238972e-05 0.8805109362204961
4 1 160 2.339821681380272e-05 2.6875549927353857e-05 0.8706135084509687
4 1 320 2.5191258266568183e-05 2.792322505265474e-05 0.9021614881184069
4 2 1 2.0699337497353553e-05 2.6155566796660424e-05 0.791393192060226
4 2 2 2.0746704004704953e-05 2.598973326385021e-05 0.7982653686393187
4 2 4 2.0831912755966188e-05 2.595607917755842e-05 0.8025831872934577
4 2 10 2.1006329357624055e-05 2.545385826379061e-05 0.8252709329927641
4 2 20 2.1344316564500332e-05 2.5166433304548264e-05 0.8481264033804436
4 2 40 2.2328308038413523e-05 2.5402970798313616e-05 0.8789644414304406
4 2 80 2.3688650131225586e-05 2.592751644551754e-05 0.9136490253898183
4 2 160 2.482415847480297e-05 2.6791541650891302e-05 0.9265670038057373
4 2 320 2.9011370800435543e-05 2.7851762622594833e-05 1.0416350014738376
4 4 1 2.0758370868861676e-05 2.5856683403253554e-05 0.8028241884359246
4 4 2 2.07763085141778e-05 2.5935733318328856e-05 0.8010688673874945
4 4 4 2.103015836328268e-05 2.593934591859579e-05 0.8107435873395042
4 4 10 2.1356079168617727e-05 2.5191800110042094e-05 0.8477393070495446
4 4 20 2.1934599988162516e-05 2.5159883685410024e-05 0.8718084814073358
4 4 40 2.372664585709572e-05 2.570463325828314e-05 0.9230493825252291
4 4 80 2.608744986355305e-05 2.61956375092268e-05 0.9958700128738747
4 4 160 2.9440641589462757e-05 2.6835841685533522e-05 1.097064214882942
4 4 320 4.577017929404974e-05 2.8412816859781742e-05 1.6108990361612927
4 8 1 2.0869237557053567e-05 2.5949258357286453e-05 0.8042325244795894
4 8 2 2.0917095988988876e-05 2.5416879169642925e-05 0.8229608304536286
4 8 4 2.1172612346708774e-05 2.5199600122869015e-05 0.8401963619848996
4 8 10 2.2010499984025957e-05 2.5240820832550526e-05 0.8720199762933719
4 8 20 2.3424700088799e-05 2.5550870969891547e-05 0.9167867551913214
4 8 40 2.6360141672194004e-05 2.5820850022137164e-05 1.02088589839585
4 8 80 3.093218728899956e-05 2.6197487488389015e-05 1.1807310644850582
4 8 160 4.843355007469654e-05 2.731739990413189e-05 1.7729926802942446
4 8 320 8.414686229079961e-05 3.200259990990162e-05 2.6293758172055433
4 16 1 2.0833483338356018e-05 2.5638587400317193e-05 0.8125831198523158
4 16 2 2.111409567296505e-05 2.536591663956642e-05 0.8323805511538553
4 16 4 2.153552919626236e-05 2.5140374712646006e-05 0.856611305217724
4 16 10 2.3431904055178165e-05 2.5330187380313875e-05 0.9250584570641187
4 16 20 2.6178054325282573e-05 2.5776908174157142e-05 1.0155622291244224
4 16 40 3.163178749382496e-05 2.5684191659092903e-05 1.2315664013753942
4 16 80 6.09747625887394e-05 2.6566866412758828e-05 2.295143192328323
4 16 160 9.220362529158592e-05 2.924552485346794e-05 3.152743052264025
4 16 320 0.0001597792126238346 3.9029858261346814e-05 4.093768713018151
8 1 1 2.0937570743262767e-05 2.6171354204416276e-05 0.8000186226408439
8 1 2 2.0703424885869026e-05 2.6285862550139427e-05 0.7876258519718696
8 1 4 2.093646675348282e-05 2.6181295700371265e-05 0.7996726744576637
8 1 10 2.1037754230201245e-05 2.6020079292356967e-05 0.8085199892677034
8 1 20 2.158695850521326e-05 2.5694475136697292e-05 0.840140084215318
8 1 40 2.2612041607499123e-05 2.5757333636283874e-05 0.8778875145541448
8 1 80 2.3420608416199684e-05 2.6287870854139327e-05 0.8909283123822042
8 1 160 2.58734667673707e-05 2.7971200086176394e-05 0.9250038141966453
8 1 320 2.9446895979344844e-05 3.0285366624593733e-05 0.9723143306917079
8 2 1 2.0778358168900012e-05 2.6284291595220566e-05 0.7905238036804564
8 2 2 2.0785416662693024e-05 2.6016158424317836e-05 0.7989425772893691
8 2 4 2.094817105680704e-05 2.615512479096651e-05 0.800920325336859
8 2 10 2.143596224486828e-05 2.5387075170874597e-05 0.8443651779729535
8 2 20 2.2218100167810918e-05 2.5536954402923585e-05 0.870037194618137
8 2 40 2.384052090346813e-05 2.5800745747983457e-05 0.9240244889173975
8 2 80 2.6156425103545188e-05 2.68111540004611e-05 0.9755799807458996
8 2 160 3.076116666197777e-05 2.8105837292969227e-05 1.0944760812969192
8 2 320 4.73644208163023e-05 2.9964437335729598e-05 1.5806878095396424
8 4 1 2.078571245074272e-05 2.6031650044023992e-05 0.7984784835225778
8 4 2 2.081364579498768e-05 2.6151345670223237e-05 0.7958919612571511
8 4 4 2.126242108643055e-05 2.541907075792551e-05 0.8364751524129204
