M N colnnz rac rar ratio
1 16 1280 0.00016968627478927375 0.00012150950431823731 1.3964856143669218
1 16 2560 0.00032190545834600925 0.00017213985845446588 1.8700227898186583
1 16 5120 0.0006243850830942393 0.0002603779584169388 2.3979951563120485
1 32 1 2.0941350050270557e-05 2.980417925864458e-05 0.7026313279268244
1 32 2 2.1102824807167053e-05 2.9824270866811275e-05 0.7075721951898738
1 32 4 2.1196441724896432e-05 2.9496970772743225e-05 0.7185972379402117
1 32 10 2.2366924956440927e-05 3.0211591720581055e-05 0.7403424871918912
1 32 20 2.379080839455128e-05 3.098128344863653e-05 0.7679090646452318
1 32 40 2.688058763742447e-05 3.151016235351562e-05 0.8530767736404689
1 32 80 3.576551638543606e-05 3.4819970838725567e-05 1.0271552653243148
1 32 160 5.868882909417152e-05 5.069280434399843e-05 1.1577349064358826
1 32 320 9.219772089272737e-05 7.377250008285045e-05 1.2497573050823059
1 32 640 0.00017061615847051143 0.00011123427469283342 1.533845201415278
1 32 1280 0.0003233217485249042 0.00015692334994673728 2.0603801068142227
1 32 2560 0.0006332035008817912 0.00020900233276188374 3.029648006863156
1 32 5120 0.0012337367087602615 0.00032633795961737634 3.7805491895787697
1 64 1 2.1025099977850915e-05 2.9714675061404705e-05 0.7075662087639532
1 64 2 2.131439559161663e-05 2.9967804253101348e-05 0.7112431532053543
1 64 4 2.2050616703927516e-05 3.0259787663817406e-05 0.7287102258914441
1 64 10 2.385618332773447e-05 3.1209058314561844e-05 0.764399331991488
1 64 20 2.679249159991741e-05 3.1247237510979174e-05 0.8574355281968039
1 64 40 3.49625501781702e-05 3.3361800014972686e-05 1.047981528648907
1 64 80 6.503693740814924e-05 5.014612078666687e-05 1.2969485253870647
1 64 160 0.00011545704565942287 7.492342106997967e-05 1.5410007179408447
1 64 320 0.0001808675916865468 0.00010876709576696158 1.6628888581714436
1 64 640 0.00032240016758441925 0.00014402900002896785 2.238439255424786
1 64 1280 0.0006319587063044309 0.00019242664147168398 3.2841539065027288
1 64 2560 0.0012463619578629733 0.00026172254234552384 4.762149819779517
1 64 5120 0.002448552083224058 0.00045035116747021677 5.4369839806976605
1 128 1 2.1121633425354957e-05 2.9784758388996125e-05 0.7091423455413447
1 128 2 2.175373751670122e-05 3.0154108442366123e-05 0.7214186935183103
1 128 4 2.2924179024994373e-05 3.128521237522364e-05 0.7327480711989414
1 128 10 2.6913787424564363e-05 3.129824995994568e-05 0.8599134922562002
1 128 20 3.293408341705799e-05 3.3494829200208186e-05 0.983258735854467
1 128 40 6.736682094633579e-05 4.716774169355631e-05 1.4282392696264898
1 128 80 0.0001315428789705038 7.215512078255415e-05 1.8230567358749203
1 128 160 0.00022500954195857047 0.00010383353754878044 2.167021824262341
1 128 320 0.0003551416248083115 0.00013849601689726115 2.5642732026854027
1 128 640 0.0006462700441479683 0.00018206622526049614 3.54964268206967
1 128 1280 0.0012519953344017267 0.0002399453353136778 5.217835690637651
1 128 2560 0.0024777641892433167 0.0003654057923704386 6.780856354711054
