M N colnnz rac rar ratio
8 32 1 2.1195175126194955e-05 0.0004241219162940979 0.04997425106298358
8 32 8 2.2611029259860516e-05 0.00042501387372612955 0.0532006851014718
8 32 64 3.5220437496900556e-05 0.00043854425102472306 0.08031216328706357
8 32 512 0.00011850138753652572 0.0005722715836018324 0.20707194089681563
8 32 4096 0.0007650950010865927 0.0016345770005136728 0.4680691095287394
8 32 32768 0.006071776673197746 0.010337554179131984 0.5873513761557452
32 1 1 2.0528383180499077e-05 0.00042341841757297517 0.04848249941078923
32 1 8 2.088506668806076e-05 0.00041928570717573164 0.04981106279233931
32 1 64 2.360018752515316e-05 0.000430564833804965 0.05481215759446682
32 1 512 4.130474161356687e-05 0.0004927079156041146 0.08383210479361322
32 1 4096 0.0001710602331906557 0.0009671307075768709 0.17687395493753283
32 1 32768 0.0012255426682531833 0.004804562907665968 0.2550789097376073
32 2 1 2.0723245851695536e-05 0.00041739333420991897 0.049649201731796766
32 2 8 2.139537092298269e-05 0.00042050804197788237 0.05087981390878615
32 2 64 2.5307279080152512e-05 0.0004305984172970057 0.05877234579498417
32 2 512 5.2478674985468385e-05 0.000524591252207756 0.10003726666163515
32 2 4096 0.0002554401680827141 0.0012823752518743277 0.19919299573924337
32 2 32768 0.0019107566233724355 0.007298128735274076 0.26181459558765624
32 8 1 2.132690008729696e-05 0.0004257742092013359 0.05008969455266396
32 8 8 2.281281240284443e-05 0.00042715425044298174 0.0534064974869999
32 8 64 3.541917484253645e-05 0.00044598158448934557 0.07941846944889405
32 8 512 0.00011822995841503143 0.0005992232505232096 0.19730535874867902
32 8 4096 0.0007696541231125594 0.0018683914188295603 0.4119340922656899
32 8 32768 0.005986197087913751 0.01222568040713668 0.4896412214750305
32 32 1 2.2973470948636532e-05 0.00043094366788864135 0.05330968444481943
32 32 8 2.821509167551994e-05 0.0004336779173463583 0.06506001469515882
32 32 64 7.470003738999366e-05 0.0004997011255472899 0.14948943192429195
32 32 512 0.0003836257494986057 0.0010164675414562226 0.37741072277528087
32 32 4096 0.0027962279319763183 0.005060643758624792 0.5525439183919519
32 32 32768 0.022815991565585135 0.038734595850110055 0.5890339389076215
128 1 1 2.1246249973773956e-05 0.000419751251116395 0.05061628742562693
128 1 8 2.2517929039895536e-05 0.000422920623794198 0.0532438660424686
128 1 64 3.251367919147015e-05 0.0004578282479196787 0.07101719769194832
